universidade;curso;campus;turno/grau;redacao;ciencias humanas;ciencias da natureza;linguagens e codigos;matematica;soma pesos;nota corte
UFG;FÍSICA;Câmpus Samambaia;Integral (Licenciatura);1,5;1;2,5;2;3;10;660,91
UFG;ABI - EDUCAÇÃO FÍSICA;Câmpus Samambaia;Integral (ABI);2;1,5;3;2;1,5;10;661,26
UFG;ENGENHARIA FÍSICA;Câmpus Samambaia;Integral (Bacharelado);1,5;1;2,5;2;3;10;661,29
UFG;ADMINISTRAÇÃO;Câmpus Goiás;Noturno (Bacharelado);2,5;2;1;2,5;2;10;662,33
UFG;PEDAGOGIA;Câmpus Colemar Natal e Silva (Goiânia);Noturno (Licenciatura);2,5;2,5;1;3;1;10;663,34
UFG;QUÍMICA;Câmpus Samambaia;Integral (Licenciatura);1,5;1;2,5;2;3;10;664,06
UFG;DESIGN DE PRODUTO;Câmpus Samambaia;Integral (Bacharelado);2,5;2,5;1;3;1;10;669,69
UFG;ZOOTECNIA;Câmpus Samambaia;Integral (Bacharelado);2;1;3;2;2;10;673,32
UFG;CIÊNCIAS BIOLÓGICAS;Câmpus Samambaia;Integral (Licenciatura);1,5;1;2,5;2;3;10;676,81
UFG;PEDAGOGIA;Câmpus Colemar Natal e Silva (Goiânia);Matutino (Licenciatura);2,5;2,5;1;3;1;10;679,9
UFG;AGRONOMIA;Câmpus Samambaia;Integral (Bacharelado);2;1;3;2;2;10;682,48
UFG;ARTES VISUAIS;Câmpus Samambaia;Matutino (Licenciatura);2,5;2,5;1;3;1;10;683,15
UFG;DIREÇÃO DE ARTE;Câmpus Samambaia;Vespertino (Bacharelado);2,5;2,5;1;3;1;10;683,76
UFG;HISTÓRIA;Câmpus Samambaia;Matutino (Licenciatura);2,5;2,5;1;3;1;10;686,35
UFG;FÍSICA;Câmpus Samambaia;Integral (Bacharelado);1,5;1;2,5;2;3;10;688,1
UFG;CIÊNCIAS BIOLÓGICAS;Câmpus Samambaia;Noturno (Licenciatura);1,5;1;2,5;2;3;10;697,73
